vhf_repository_id,vhf_code_id,publication_datetime,value,applies_from_datetime,applies_to_datetime,forward_period,forward_year
184950008,45700,15/12/2021 13:21,69.51,15/12/2021 13:20,15/12/2021 13:21,2,2022
184950002,45699,15/12/2021 13:21,69.57,15/12/2021 13:20,15/12/2021 13:21,2,2022
184949996,45701,15/12/2021 13:21,69.54,15/12/2021 13:20,15/12/2021 13:21,2,2022
184949989,45697,15/12/2021 13:21,259,15/12/2021 13:20,15/12/2021 13:21,1,2022
184949983,45693,15/12/2021 13:21,69.78,15/12/2021 13:20,15/12/2021 13:21,1,2022
184949977,45695,15/12/2021 13:21,69.73,15/12/2021 13:20,15/12/2021 13:21,1,2022
184949971,45694,15/12/2021 13:21,69.79,15/12/2021 13:20,15/12/2021 13:21,1,2022
184949965,45696,15/12/2021 13:21,69.75,15/12/2021 13:20,15/12/2021 13:21,1,2022
184950382,45752,15/12/2021 13:20,1,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950381,45748,15/12/2021 13:20,2.0766,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950380,45750,15/12/2021 13:20,2.0766,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950379,45749,15/12/2021 13:20,2.0766,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950378,45751,15/12/2021 13:20,2.0766,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950358,45742,15/12/2021 13:20,17,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950352,45738,15/12/2021 13:20,2.0896,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950346,45740,15/12/2021 13:20,2.0896,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950340,45739,15/12/2021 13:20,2.0904,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950334,45741,15/12/2021 13:20,2.09,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950322,45737,15/12/2021 13:20,4,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950317,45733,15/12/2021 13:20,630.75,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950312,45735,15/12/2021 13:20,630.75,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950307,45734,15/12/2021 13:20,630.75,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950302,45736,15/12/2021 13:20,630.75,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950296,45732,15/12/2021 13:20,4,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950290,45728,15/12/2021 13:20,634.25,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950284,45730,15/12/2021 13:20,634.25,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950278,45729,15/12/2021 13:20,634.5,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950272,45731,15/12/2021 13:20,634.5,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950265,45727,15/12/2021 13:20,58,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950259,45723,15/12/2021 13:20,635.75,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950253,45725,15/12/2021 13:20,635.75,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950247,45724,15/12/2021 13:20,636.25,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950241,45726,15/12/2021 13:20,636.25,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950230,45722,15/12/2021 13:20,2,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950225,45718,15/12/2021 13:20,2.178,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950220,45720,15/12/2021 13:20,2.178,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950215,45719,15/12/2021 13:20,2.178,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950210,45721,15/12/2021 13:20,2.178,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950204,45717,15/12/2021 13:20,1,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950198,45713,15/12/2021 13:20,2.1909,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950192,45715,15/12/2021 13:20,2.1909,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950186,45714,15/12/2021 13:20,2.1909,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950180,45716,15/12/2021 13:20,2.1909,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950173,45712,15/12/2021 13:20,20,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950167,45708,15/12/2021 13:20,2.1948,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950161,45710,15/12/2021 13:20,2.1947,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950155,45709,15/12/2021 13:20,2.1954,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950149,45711,15/12/2021 13:20,2.1948,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950142,45692,15/12/2021 13:20,11,15/12/2021 13:19,15/12/2021 13:20,4,2022
184950136,45688,15/12/2021 13:20,72.45,15/12/2021 13:19,15/12/2021 13:20,4,2022
184950130,45690,15/12/2021 13:20,72.44,15/12/2021 13:19,15/12/2021 13:20,4,2022
184950124,45689,15/12/2021 13:20,72.47,15/12/2021 13:19,15/12/2021 13:20,4,2022
184950118,45691,15/12/2021 13:20,72.46,15/12/2021 13:19,15/12/2021 13:20,4,2022
184950111,45687,15/12/2021 13:20,124,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950105,45683,15/12/2021 13:20,72.72,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950099,45685,15/12/2021 13:20,72.71,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950093,45684,15/12/2021 13:20,72.75,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950087,45686,15/12/2021 13:20,72.74,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950076,45682,15/12/2021 13:20,156,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950071,45678,15/12/2021 13:20,72.8,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950066,45680,15/12/2021 13:20,72.8,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950061,45679,15/12/2021 13:20,72.84,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950056,45681,15/12/2021 13:20,72.83,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950050,45707,15/12/2021 13:20,8,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950044,45703,15/12/2021 13:20,69.3,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950038,45705,15/12/2021 13:20,69.29,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950032,45704,15/12/2021 13:20,69.33,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950026,45706,15/12/2021 13:20,69.3,15/12/2021 13:19,15/12/2021 13:20,3,2022
184950019,45702,15/12/2021 13:20,43,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950013,45698,15/12/2021 13:20,69.55,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950007,45700,15/12/2021 13:20,69.54,15/12/2021 13:19,15/12/2021 13:20,2,2022
184950001,45699,15/12/2021 13:20,69.6,15/12/2021 13:19,15/12/2021 13:20,2,2022
184949995,45701,15/12/2021 13:20,69.59,15/12/2021 13:19,15/12/2021 13:20,2,2022
184949988,45697,15/12/2021 13:20,260,15/12/2021 13:19,15/12/2021 13:20,1,2022
184949982,45693,15/12/2021 13:20,69.76,15/12/2021 13:19,15/12/2021 13:20,1,2022
184949976,45695,15/12/2021 13:20,69.75,15/12/2021 13:19,15/12/2021 13:20,1,2022
184949970,45694,15/12/2021 13:20,69.81,15/12/2021 13:19,15/12/2021 13:20,1,2022
184949964,45696,15/12/2021 13:20,69.8,15/12/2021 13:19,15/12/2021 13:20,1,2022
184950357,45742,15/12/2021 13:19,7,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950351,45738,15/12/2021 13:19,2.0892,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950345,45740,15/12/2021 13:19,2.0889,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950339,45739,15/12/2021 13:19,2.0897,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950333,45741,15/12/2021 13:19,2.0894,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950295,45732,15/12/2021 13:19,21,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950289,45728,15/12/2021 13:19,634.5,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950283,45730,15/12/2021 13:19,634.25,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950277,45729,15/12/2021 13:19,634.5,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950271,45731,15/12/2021 13:19,634.5,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950264,45727,15/12/2021 13:19,66,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950258,45723,15/12/2021 13:19,636.25,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950252,45725,15/12/2021 13:19,636.25,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950246,45724,15/12/2021 13:19,636.5,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950240,45726,15/12/2021 13:19,636.25,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950229,45722,15/12/2021 13:19,3,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950224,45718,15/12/2021 13:19,2.178,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950219,45720,15/12/2021 13:19,2.178,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950214,45719,15/12/2021 13:19,2.1783,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950209,45721,15/12/2021 13:19,2.1783,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950203,45717,15/12/2021 13:19,1,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950197,45713,15/12/2021 13:19,2.1918,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950191,45715,15/12/2021 13:19,2.1918,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950185,45714,15/12/2021 13:19,2.1918,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950179,45716,15/12/2021 13:19,2.1918,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950172,45712,15/12/2021 13:19,1,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950166,45708,15/12/2021 13:19,2.195,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950160,45710,15/12/2021 13:19,2.195,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950154,45709,15/12/2021 13:19,2.195,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950148,45711,15/12/2021 13:19,2.195,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950141,45692,15/12/2021 13:19,9,15/12/2021 13:18,15/12/2021 13:19,4,2022
184950135,45688,15/12/2021 13:19,72.47,15/12/2021 13:18,15/12/2021 13:19,4,2022
184950129,45690,15/12/2021 13:19,72.46,15/12/2021 13:18,15/12/2021 13:19,4,2022
184950123,45689,15/12/2021 13:19,72.47,15/12/2021 13:18,15/12/2021 13:19,4,2022
184950117,45691,15/12/2021 13:19,72.46,15/12/2021 13:18,15/12/2021 13:19,4,2022
184950110,45687,15/12/2021 13:19,107,15/12/2021 13:18,15/12/2021 13:19,3,2022
